Date (UTC+2:00),Token,Type,Price (CZK),Amount,Total value (CZK),Fee,Fee Currency,Notes
2024-05-01 20:54:00,ATOM,buy,902913,0.066389,-59943,0,CZK,Ztráta
2024-05-01 21:20:00,ATOM,sell,475164,0.030784,14585,0,CZK,Zisk
2024-05-02 17:40:00,ETH,buy,1439919,0.004328,-6232,0,CZK,Optimalizace robota
2024-05-02 13:17:00,LTC,sell,1189134,0.055069,65624,0,CZK,Volatilita trhu
2024-05-02 20:10:00,SOL,buy,927335,0.02276,-21106,0,CZK,Optimalizace robota
2024-05-03 12:22:00,LINK,sell,352961,0.001742,628,0,CZK,Optimalizace robota
2024-05-03 10:18:00,DOGE,sell,345028,0.018559,6419,0,CZK,Optimalizace robota
2024-05-03 20:08:00,DOGE,sell,980176,0.083762,82472,0,CZK,Zisk
2024-05-03 11:25:00,ATOM,sell,133629,0.055306,7377,0,CZK,Stabilní růst
2024-05-03 14:59:00,LINK,buy,781725,0.055011,-43003,0,CZK,Korekce trhu
2024-05-03 20:21:00,DOT,sell,1396482,0.031173,43483,0,CZK,Zisk
2024-05-04 20:51:00,TRX,buy,964287,0.019662,-18960,0,CZK,Automatický trade
2024-05-04 11:31:00,XRP,buy,286123,0.035957,-10288,0,CZK,Ztráta
2024-05-05 12:18:00,SOL,buy,861147,0.090393,-77842,0,CZK,Stabilní růst
2024-05-05 21:27:00,BNB,sell,240540,0.090921,22239,0,CZK,Volatilita trhu
2024-05-06 18:20:00,MATIC,buy,1254408,0.048655,-61033,0,CZK,Optimalizace robota
2024-05-06 18:19:00,MATIC,sell,1285072,0.004465,5767,0,CZK,Zisk
2024-05-06 18:54:00,XRP,buy,87085,0.091394,-7959,0,CZK,Optimalizace robota
2024-05-06 10:08:00,TRX,sell,901730,0.034272,31235,0,CZK,Korekce trhu
2024-05-06 13:17:00,AVAX,buy,180299,0.016123,-2907,0,CZK,Optimalizace robota
2024-05-07 19:51:00,SOL,buy,1325698,0.012558,-16648,0,CZK,Zisk
2024-05-07 16:30:00,DOGE,buy,15852,0.032228,-511,0,CZK,Zisk
2024-05-07 09:14:00,SOL,sell,1141686,0.094293,107463,0,CZK,Zisk
2024-05-07 11:29:00,ETH,buy,1247067,0.072039,-89837,0,CZK,Stabilní růst
2024-05-07 14:27:00,MATIC,sell,412313,0.075198,30929,0,CZK,Zisk
2024-05-08 12:54:00,SOL,sell,1114254,0.058501,65484,0,CZK,Ztráta
2024-05-08 21:45:00,MATIC,sell,1359678,0.082446,112126,0,CZK,Optimalizace robota
2024-05-08 21:06:00,TRX,sell,1314811,0.07571,99537,0,CZK,Zisk
2024-05-08 13:13:00,BNB,buy,401188,0.038843,-15583,0,CZK,Automatický trade
2024-05-08 15:02:00,BNB,sell,608854,0.025404,15288,0,CZK,Automatický trade
2024-05-09 08:03:00,MATIC,buy,249454,0.096218,-24002,0,CZK,Ztráta
2024-05-09 22:21:00,BTC,sell,503652,0.087403,43997,0,CZK,Ztráta
2024-05-09 15:57:00,ETH,buy,1384069,0.087178,-120660,0,CZK,Ztráta
2024-05-09 21:51:00,ATOM,sell,302863,0.005987,1614,0,CZK,Korekce trhu
2024-05-09 08:30:00,SOL,buy,469564,0.084085,-39483,0,CZK,Zisk
2024-05-09 13:35:00,BNB,sell,990172,0.064456,64085,0,CZK,Optimalizace robota
2024-05-10 17:12:00,BTC,buy,1487538,0.073537,-109389,0,CZK,Zisk
2024-05-10 13:54:00,LINK,buy,306244,0.089998,-27561,0,CZK,Stabilní růst
2024-05-10 08:10:00,SOL,buy,452587,0.094507,-42773,0,CZK,Volatilita trhu
2024-05-10 08:57:00,ADA,buy,1443633,0.024246,-35002,0,CZK,Zisk
2024-05-11 15:48:00,ETH,buy,912490,0.041345,-37727,0,CZK,Stabilní růst
2024-05-11 11:12:00,MATIC,sell,329450,0.004112,1584,0,CZK,Stabilní růst
2024-05-11 18:36:00,AVAX,sell,1032339,0.040893,42234,0,CZK,Volatilita trhu
2024-05-12 10:21:00,SOL,buy,570828,0.095889,-54736,0,CZK,Volatilita trhu
2024-05-13 22:05:00,LTC,sell,345450,0.033182,11527,0,CZK,Stabilní růst
2024-05-13 22:31:00,BTC,sell,791863,0.092529,73250,0,CZK,Zisk
2024-05-13 18:49:00,DOGE,sell,515306,0.040579,21021,0,CZK,Optimalizace robota
2024-05-13 22:41:00,TRX,buy,676830,0.078583,-53187,0,CZK,Stabilní růst
2024-05-14 21:24:00,ADA,buy,831451,0.040259,-33473,0,CZK,Automatický trade
2024-05-14 19:50:00,BNB,sell,740269,0.060757,44922,0,CZK,Zisk
2024-05-14 09:54:00,ADA,buy,562296,0.011934,-6710,0,CZK,Zisk
2024-05-14 16:37:00,XRP,buy,528719,0.006663,-3523,0,CZK,Ztráta
2024-05-14 15:29:00,BNB,sell,567130,0.080567,45968,0,CZK,Optimalizace robota
2024-05-15 09:30:00,LTC,buy,135742,0.069676,-9458,0,CZK,Volatilita trhu
2024-05-16 14:25:00,BNB,sell,1412085,0.002333,3633,0,CZK,Optimalizace robota
2024-05-16 16:37:00,MATIC,sell,1423024,0.098661,140450,0,CZK,Ztráta
2024-05-16 21:17:00,LTC,buy,242492,0.033587,-8145,0,CZK,Zisk
2024-05-16 11:24:00,MATIC,sell,658738,0.04725,31391,0,CZK,Korekce trhu
2024-05-16 09:28:00,DOGE,buy,996283,0.020557,-20481,0,CZK,Korekce trhu
2024-05-16 15:36:00,LTC,buy,1028984,0.001092,-1124,0,CZK,Zisk
2024-05-17 09:05:00,DOGE,sell,133379,0.001968,519,0,CZK,Volatilita trhu
2024-05-17 11:48:00,BNB,buy,1414963,0.004238,-5997,0,CZK,Ztráta
2024-05-17 21:03:00,BNB,buy,259022,0.081795,-21187,0,CZK,Zisk
2024-05-17 21:32:00,TRX,sell,1185465,0.007645,8899,0,CZK,Volatilita trhu
2024-05-17 08:49:00,MATIC,sell,123054,0.037697,4589,0,CZK,Volatilita trhu
2024-05-18 22:58:00,AVAX,sell,77634,0.062445,4961,0,CZK,Korekce trhu
2024-05-18 18:00:00,LINK,sell,1216867,0.098986,120292,0,CZK,Stabilní růst
2024-05-18 22:32:00,LTC,sell,100798,0.079789,8158,0,CZK,Ztráta
2024-05-18 11:23:00,TRX,buy,1307932,0.072966,-95435,0,CZK,Zisk
2024-05-18 19:34:00,MATIC,sell,948820,0.03387,32392,0,CZK,Automatický trade
2024-05-19 19:59:00,AVAX,sell,1097482,0.090068,98749,0,CZK,Stabilní růst
2024-05-20 15:56:00,SOL,buy,1327902,0.074388,-98780,0,CZK,Stabilní růst
2024-05-20 11:02:00,ATOM,sell,1250216,0.0131,16468,0,CZK,Korekce trhu
2024-05-20 18:25:00,XRP,buy,1234777,0.055895,-69018,0,CZK,Ztráta
2024-05-21 10:55:00,AVAX,sell,486232,0.082243,40198,0,CZK,Stabilní růst
2024-05-21 10:50:00,TRX,sell,201295,0.044598,8966,0,CZK,Korekce trhu
2024-05-21 10:53:00,TRX,sell,1045211,0.066829,70059,0,CZK,Stabilní růst
2024-05-22 19:59:00,BNB,buy,696103,0.041237,-28705,0,CZK,Ztráta
2024-05-23 22:33:00,ATOM,sell,247564,0.037346,9114,0,CZK,Automatický trade
2024-05-23 21:01:00,LINK,sell,1092295,0.098991,108206,0,CZK,Ztráta
2024-05-23 09:38:00,DOGE,buy,586370,0.004299,-2521,0,CZK,Volatilita trhu
2024-05-23 08:58:00,ADA,buy,732877,0.087056,-63801,0,CZK,Stabilní růst
2024-05-23 09:47:00,SOL,sell,1127855,0.079524,90021,0,CZK,Stabilní růst
2024-05-23 17:07:00,MATIC,sell,495884,0.092003,45967,0,CZK,Volatilita trhu
2024-05-24 08:14:00,TRX,buy,1392667,0.084321,-117431,0,CZK,Ztráta
2024-05-24 09:12:00,XRP,buy,444327,0.07209,-32032,0,CZK,Zisk
2024-05-24 20:22:00,AVAX,buy,265375,0.014096,-3741,0,CZK,Volatilita trhu
2024-05-24 20:07:00,ETH,sell,410463,0.029735,12165,0,CZK,Ztráta
2024-05-25 12:53:00,SOL,sell,1237050,0.049994,61921,0,CZK,Korekce trhu
2024-05-25 22:01:00,MATIC,buy,1178203,0.083919,-98874,0,CZK,Korekce trhu
2024-05-25 17:46:00,TRX,sell,210484,0.013357,2827,0,CZK,Korekce trhu
2024-05-25 22:46:00,AVAX,buy,1173717,0.061625,-72330,0,CZK,Korekce trhu
2024-05-26 21:01:00,DOT,buy,668945,0.087403,-58468,0,CZK,Stabilní růst
2024-05-26 09:24:00,LTC,buy,1213146,0.069645,-84490,0,CZK,Korekce trhu
2024-05-26 22:33:00,LTC,buy,1143369,0.001797,-2055,0,CZK,Ztráta
2024-05-26 10:44:00,ATOM,sell,1008293,0.016628,16799,0,CZK,Korekce trhu
2024-05-26 10:27:00,MATIC,buy,300515,0.026753,-8040,0,CZK,Automatický trade
2024-05-27 12:14:00,LTC,buy,1159931,0.048246,-55962,0,CZK,Volatilita trhu
2024-05-27 22:49:00,BTC,buy,809909,0.003363,-2724,0,CZK,Stabilní růst
2024-05-27 11:45:00,DOGE,buy,281822,0.094973,-26765,0,CZK,Volatilita trhu
2024-05-27 13:40:00,BTC,sell,1140671,0.086893,99182,0,CZK,Automatický trade
2024-05-27 16:25:00,SOL,buy,1301227,0.008965,-11666,0,CZK,Stabilní růst
2024-05-28 14:37:00,MATIC,sell,1247053,0.045459,56662,0,CZK,Ztráta
2024-05-28 22:00:00,LINK,sell,218130,0.016457,3646,0,CZK,Korekce trhu
2024-05-28 21:56:00,ETH,buy,317923,0.055064,-17506,0,CZK,Optimalizace robota
2024-05-28 09:44:00,DOGE,buy,1486904,0.006514,-9686,0,CZK,Stabilní růst
2024-05-29 18:25:00,BTC,buy,602525,0.062662,-37755,0,CZK,Volatilita trhu
2024-05-29 21:41:00,LTC,sell,1061428,0.073615,78513,0,CZK,Korekce trhu
2024-05-30 13:41:00,SOL,buy,499116,0.085592,-42720,0,CZK,Zisk
2024-05-30 20:59:00,LTC,buy,1007034,0.033916,-34155,0,CZK,Optimalizace robota
2024-05-30 18:38:00,BNB,sell,1355114,0.070743,96035,0,CZK,Stabilní růst
2024-05-30 18:29:00,BNB,sell,695249,0.007159,4937,0,CZK,Optimalizace robota
2024-05-31 08:56:00,LINK,buy,486545,0.014148,-6884,0,CZK,Optimalizace robota
2024-05-31 15:38:00,MATIC,sell,1367018,0.07537,102871,0,CZK,Optimalizace robota
2024-06-01 14:59:00,LTC,buy,1459872,0.072929,-106467,0,CZK,Ztráta
2024-06-02 16:10:00,ETH,sell,475253,0.055358,26375,0,CZK,Zisk
2024-06-03 20:33:00,DOT,buy,1035061,0.066238,-68560,0,CZK,Stabilní růst
2024-06-03 12:28:00,SOL,buy,1462310,0.088509,-129428,0,CZK,Automatický trade
2024-06-03 14:02:00,DOT,sell,1284093,0.018129,23540,0,CZK,Optimalizace robota
2024-06-04 20:15:00,TRX,sell,920512,0.060135,55257,0,CZK,Zisk
2024-06-04 15:18:00,ADA,buy,206300,0.023234,-4793,0,CZK,Volatilita trhu
2024-06-05 18:28:00,DOT,buy,1248112,0.02278,-28432,0,CZK,Automatický trade
2024-06-05 16:58:00,AVAX,buy,503426,0.089282,-44947,0,CZK,Volatilita trhu
2024-06-05 16:29:00,DOGE,buy,1444623,0.099248,-143376,0,CZK,Volatilita trhu
2024-06-05 17:57:00,MATIC,buy,730358,0.097831,-71452,0,CZK,Stabilní růst
2024-06-05 22:29:00,SOL,sell,1063116,0.077906,83080,0,CZK,Volatilita trhu
2024-06-06 19:39:00,DOT,buy,833875,0.048203,-40195,0,CZK,Ztráta
2024-06-06 12:54:00,LTC,sell,49890,0.009706,596,0,CZK,Optimalizace robota
2024-06-06 09:03:00,BTC,buy,763168,0.055363,-42251,0,CZK,Korekce trhu
2024-06-07 13:09:00,DOT,buy,1242927,0.056261,-69928,0,CZK,Zisk
2024-06-07 21:26:00,ATOM,sell,64403,0.065065,4188,0,CZK,Automatický trade
2024-06-08 10:13:00,LINK,sell,800209,0.07072,56500,0,CZK,Optimalizace robota
2024-06-08 16:39:00,DOT,buy,833597,0.04851,-40438,0,CZK,Optimalizace robota
2024-06-08 11:00:00,LINK,buy,1474493,0.007354,-10843,0,CZK,Automatický trade
2024-06-08 18:49:00,ETH,buy,251554,0.030139,-7582,0,CZK,Automatický trade
2024-06-08 13:11:00,TRX,sell,1458203,0.03068,44796,0,CZK,Stabilní růst
2024-06-08 13:42:00,ADA,buy,227839,0.069318,-15793,0,CZK,Zisk
2024-06-09 19:39:00,LINK,buy,834686,0.016697,-13937,0,CZK,Optimalizace robota
2024-06-09 22:24:00,ETH,buy,1107087,0.061908,-68538,0,CZK,Zisk
2024-06-09 13:20:00,DOT,buy,251806,0.056862,-14318,0,CZK,Volatilita trhu
2024-06-09 08:19:00,ADA,buy,1015186,0.068401,-69440,0,CZK,Stabilní růst
2024-06-09 20:58:00,LINK,buy,919516,0.064945,-59718,0,CZK,Optimalizace robota
2024-06-09 08:14:00,ETH,sell,1227609,0.070538,86460,0,CZK,Stabilní růst
2024-06-10 13:05:00,XRP,sell,1243916,0.048342,60247,0,CZK,Korekce trhu
2024-06-10 17:08:00,AVAX,sell,217347,0.037268,8476,0,CZK,Stabilní růst
2024-06-10 21:41:00,XRP,sell,727090,0.091565,66469,0,CZK,Korekce trhu
2024-06-10 11:47:00,MATIC,buy,207473,0.066723,-13843,0,CZK,Volatilita trhu
2024-06-10 18:55:00,MATIC,buy,341582,0.026334,-8995,0,CZK,Ztráta
2024-06-11 14:25:00,SOL,sell,508211,0.008321,4063,0,CZK,Volatilita trhu
2024-06-11 12:30:00,BTC,sell,1405617,0.084099,118589,0,CZK,Korekce trhu
2024-06-11 22:41:00,MATIC,buy,360476,0.080278,-28938,0,CZK,Optimalizace robota
2024-06-11 20:39:00,ETH,sell,16818,0.075084,1205,0,CZK,Korekce trhu
2024-06-11 10:43:00,ATOM,buy,1227876,0.033688,-41365,0,CZK,Korekce trhu
2024-06-12 13:45:00,AVAX,sell,4798,0.031077,26,0,CZK,Korekce trhu
2024-06-12 09:32:00,DOGE,sell,760496,0.058241,44413,0,CZK,Ztráta
2024-06-12 21:24:00,SOL,sell,1014217,0.076226,77168,0,CZK,Stabilní růst
2024-06-12 17:57:00,AVAX,buy,834902,0.082109,-68553,0,CZK,Ztráta
2024-06-12 10:46:00,BNB,buy,749344,0.050215,-37628,0,CZK,Korekce trhu
2024-06-12 20:22:00,TRX,sell,224037,0.065951,14931,0,CZK,Korekce trhu
2024-06-13 21:59:00,SOL,sell,578356,0.077061,44373,0,CZK,Zisk
2024-06-13 09:10:00,SOL,buy,52722,0.017556,-926,0,CZK,Zisk
2024-06-13 16:47:00,TRX,buy,1428772,0.011945,-17067,0,CZK,Zisk
2024-06-13 09:35:00,TRX,buy,1315689,0.091109,-119871,0,CZK,Zisk
2024-06-13 11:50:00,MATIC,buy,1096375,0.095724,-104949,0,CZK,Stabilní růst
2024-06-14 18:08:00,AVAX,buy,983805,0.027705,-27256,0,CZK,Automatický trade
2024-06-15 09:38:00,BNB,buy,1454843,0.092702,-134867,0,CZK,Stabilní růst
2024-06-15 22:05:00,BTC,sell,1469776,0.02554,37474,0,CZK,Zisk
2024-06-16 17:30:00,LINK,sell,304800,0.037457,11790,0,CZK,Zisk
2024-06-16 18:55:00,TRX,buy,1376762,0.031825,-43815,0,CZK,Zisk
2024-06-16 18:16:00,LTC,buy,617674,0.035274,-21788,0,CZK,Stabilní růst
2024-06-16 21:06:00,BTC,sell,468635,0.038564,18251,0,CZK,Korekce trhu
2024-06-16 21:04:00,TRX,buy,125242,0.051907,-6501,0,CZK,Volatilita trhu
2024-06-17 20:08:00,XRP,buy,804695,0.015034,-12098,0,CZK,Korekce trhu
2024-06-17 14:44:00,TRX,sell,1186588,0.024544,29078,0,CZK,Zisk
2024-06-17 09:53:00,BNB,buy,903073,0.003037,-2743,0,CZK,Volatilita trhu
2024-06-17 16:07:00,XRP,buy,200912,0.015176,-3049,0,CZK,Volatilita trhu
2024-06-17 13:01:00,SOL,sell,1068949,0.092741,99081,0,CZK,Stabilní růst
2024-06-17 22:48:00,BNB,buy,1970,0.098233,-194,0,CZK,Ztráta
2024-06-18 20:02:00,ATOM,buy,568654,0.037043,-21065,0,CZK,Automatický trade
2024-06-18 22:52:00,SOL,buy,1202291,0.094943,-114149,0,CZK,Ztráta
2024-06-18 22:48:00,BTC,buy,320084,0.022868,-7320,0,CZK,Ztráta
2024-06-18 19:12:00,BTC,buy,870362,0.072539,-63135,0,CZK,Volatilita trhu
2024-06-18 15:36:00,AVAX,sell,603371,0.012036,7279,0,CZK,Ztráta
2024-06-19 11:26:00,LINK,sell,344322,0.019532,6915,0,CZK,Ztráta
2024-06-19 18:55:00,LTC,sell,963590,0.058074,55860,0,CZK,Zisk
2024-06-19 12:54:00,AVAX,sell,472989,0.065629,31409,0,CZK,Stabilní růst
2024-06-19 08:27:00,ETH,sell,776824,0.078253,61075,0,CZK,Korekce trhu
2024-06-19 08:51:00,ADA,buy,440908,0.021692,-9564,0,CZK,Optimalizace robota
2024-06-20 16:36:00,BTC,buy,68427,0.04911,-3360,0,CZK,Optimalizace robota
2024-06-21 15:09:00,ETH,buy,52943,0.039072,-2069,0,CZK,Stabilní růst
2024-06-21 17:53:00,TRX,buy,1265361,0.038999,-49348,0,CZK,Zisk
2024-06-21 08:20:00,MATIC,sell,573645,0.085449,49071,0,CZK,Zisk
2024-06-21 22:48:00,SOL,buy,1308658,0.03055,-39980,0,CZK,Optimalizace robota
2024-06-21 11:17:00,DOT,buy,959599,0.035748,-34304,0,CZK,Korekce trhu
2024-06-22 17:54:00,ADA,sell,656272,0.024437,15928,0,CZK,Stabilní růst
2024-06-22 14:10:00,SOL,buy,446675,0.082395,-36804,0,CZK,Ztráta
2024-06-22 08:18:00,LINK,sell,415074,0.026489,11325,0,CZK,Automatický trade
2024-06-22 19:35:00,BTC,buy,1355123,0.082678,-112039,0,CZK,Volatilita trhu
2024-06-22 20:31:00,ATOM,sell,154046,0.060301,9247,0,CZK,Korekce trhu
2024-06-23 11:42:00,MATIC,buy,1152406,0.031263,-36028,0,CZK,Zisk
2024-06-23 16:53:00,SOL,sell,751702,0.084221,63196,0,CZK,Zisk
2024-06-24 13:12:00,DOGE,sell,911949,0.009241,8474,0,CZK,Zisk
2024-06-24 21:51:00,AVAX,buy,629912,0.040915,-25773,0,CZK,Optimalizace robota
2024-06-24 09:07:00,AVAX,buy,137876,0.095316,-13142,0,CZK,Korekce trhu
2024-06-24 22:48:00,LINK,sell,1365653,0.095117,129882,0,CZK,Automatický trade
2024-06-24 20:49:00,XRP,sell,1443998,0.070126,101182,0,CZK,Stabilní růst
2024-06-25 09:44:00,ADA,sell,1429483,0.026516,37930,0,CZK,Automatický trade
2024-06-25 12:32:00,LINK,buy,217833,0.059931,-13055,0,CZK,Volatilita trhu
2024-06-25 22:30:00,LINK,buy,770355,0.021547,-16599,0,CZK,Korekce trhu
2024-06-26 08:56:00,AVAX,buy,453868,0.022123,-10041,0,CZK,Automatický trade
2024-06-26 15:35:00,LINK,buy,492714,0.092319,-45487,0,CZK,Optimalizace robota
2024-06-27 11:50:00,SOL,sell,748937,0.091515,68378,0,CZK,Ztráta
2024-06-28 20:41:00,BNB,buy,1161535,0.085497,-99308,0,CZK,Optimalizace robota
2024-06-28 09:57:00,BTC,buy,1182494,0.030849,-36479,0,CZK,Automatický trade
2024-06-28 08:42:00,SOL,buy,713088,0.02243,-15995,0,CZK,Zisk
2024-06-29 10:58:00,BTC,buy,1182679,0.077565,-91734,0,CZK,Zisk
2024-06-29 17:59:00,BNB,buy,849991,0.09909,-84226,0,CZK,Stabilní růst
2024-06-29 14:51:00,ETH,sell,535494,0.025207,13737,0,CZK,Automatický trade
2024-06-29 13:11:00,MATIC,buy,399199,0.006832,-2727,0,CZK,Stabilní růst
2024-06-29 14:46:00,MATIC,sell,977139,0.011019,11010,0,CZK,Korekce trhu
2024-06-30 21:43:00,BNB,buy,713064,0.08635,-61573,0,CZK,Volatilita trhu
2024-06-30 19:59:00,AVAX,sell,1217814,0.053661,65253,0,CZK,Korekce trhu
2024-06-30 08:46:00,ADA,sell,171092,0.07496,12744,0,CZK,Optimalizace robota
2024-06-30 19:46:00,BNB,sell,1121415,0.014235,15796,0,CZK,Volatilita trhu
2024-06-30 16:29:00,SOL,buy,1211503,0.033262,-40297,0,CZK,Zisk
2024-07-01 10:41:00,LTC,sell,216960,0.008217,1593,0,CZK,Automatický trade
2024-07-01 18:41:00,LINK,sell,637712,0.091856,58750,0,CZK,Optimalizace robota
2024-07-01 17:32:00,DOGE,buy,674678,0.088348,-59606,0,CZK,Automatický trade
2024-07-02 20:46:00,LTC,buy,417005,0.099077,-41316,0,CZK,Automatický trade
2024-07-02 12:39:00,BNB,sell,992664,0.092447,91939,0,CZK,Optimalizace robota
2024-07-02 09:07:00,AVAX,sell,1416023,0.046135,65557,0,CZK,Automatický trade
2024-07-02 08:39:00,ADA,sell,138990,0.061454,8700,0,CZK,Ztráta
2024-07-02 19:30:00,ATOM,buy,1303101,0.060537,-78886,0,CZK,Optimalizace robota
2024-07-03 18:58:00,ATOM,buy,994195,0.038649,-38425,0,CZK,Zisk
2024-07-03 22:33:00,MATIC,sell,462390,0.02726,12554,0,CZK,Zisk
2024-07-03 20:34:00,MATIC,sell,288675,0.012579,3448,0,CZK,Zisk
2024-07-03 14:23:00,LTC,sell,1238138,0.07162,88595,0,CZK,Optimalizace robota
2024-07-03 11:12:00,AVAX,buy,308452,0.04052,-12498,0,CZK,Ztráta
2024-07-04 13:45:00,ATOM,buy,348813,0.035213,-12283,0,CZK,Korekce trhu
2024-07-04 16:24:00,AVAX,buy,1085412,0.02289,-24845,0,CZK,Korekce trhu
2024-07-04 15:53:00,ATOM,buy,1387986,0.078211,-108556,0,CZK,Zisk
2024-07-04 08:00:00,TRX,buy,680554,0.099887,-67978,0,CZK,Volatilita trhu
2024-07-04 19:15:00,DOGE,buy,1161831,0.0968,-112465,0,CZK,Optimalizace robota
2024-07-05 11:07:00,AVAX,sell,34852,0.007016,78,0,CZK,Volatilita trhu
2024-07-06 15:41:00,LINK,buy,51387,0.011782,-605,0,CZK,Automatický trade
2024-07-06 16:40:00,ADA,sell,997276,0.075686,75855,0,CZK,Automatický trade
2024-07-07 19:55:00,LINK,buy,1256844,0.092918,-116783,0,CZK,Korekce trhu
2024-07-07 17:41:00,BTC,sell,255366,0.064671,16435,0,CZK,Optimalizace robota
2024-07-08 16:41:00,ETH,buy,1056137,0.085575,-90379,0,CZK,Volatilita trhu
2024-07-08 19:22:00,ETH,buy,1346227,0.024549,-33049,0,CZK,Zisk
2024-07-08 08:19:00,AVAX,sell,923224,0.018232,17224,0,CZK,Korekce trhu
2024-07-08 13:52:00,SOL,sell,1262808,0.061571,77576,0,CZK,Stabilní růst
2024-07-08 13:37:00,SOL,sell,240418,0.046476,11088,0,CZK,Stabilní růst
2024-07-08 18:04:00,AVAX,buy,45193,0.084619,-3824,0,CZK,Automatický trade
2024-07-09 21:37:00,BTC,sell,1343661,0.04277,57751,0,CZK,Ztráta
2024-07-09 21:29:00,BTC,buy,1377460,0.014967,-20616,0,CZK,Stabilní růst
2024-07-09 09:37:00,LINK,sell,279703,0.064006,17873,0,CZK,Korekce trhu
2024-07-09 10:14:00,DOGE,buy,661921,0.054948,-36371,0,CZK,Zisk
2024-07-09 16:36:00,ADA,buy,771805,0.08956,-69123,0,CZK,Korekce trhu
2024-07-10 16:52:00,SOL,buy,635950,0.097145,-61779,0,CZK,Ztráta
2024-07-10 14:28:00,TRX,sell,922006,0.096885,89406,0,CZK,Stabilní růst
2024-07-10 09:05:00,LINK,sell,1327149,0.004249,5522,0,CZK,Automatický trade
2024-07-11 20:59:00,XRP,buy,426003,0.055351,-23580,0,CZK,Volatilita trhu
2024-07-11 17:40:00,SOL,buy,1251092,0.047783,-59781,0,CZK,Ztráta
2024-07-12 19:19:00,SOL,sell,287109,0.008752,2676,0,CZK,Optimalizace robota
2024-07-12 08:24:00,DOT,sell,1160748,0.058065,67471,0,CZK,Stabilní růst
2024-07-12 18:35:00,DOGE,sell,209191,0.031583,6625,0,CZK,Korekce trhu
2024-07-12 10:30:00,LTC,buy,321987,0.00787,-2534,0,CZK,Ztráta
2024-07-13 15:42:00,AVAX,sell,850453,0.010593,9289,0,CZK,Stabilní růst
2024-07-14 14:17:00,ETH,buy,868908,0.071297,-61951,0,CZK,Optimalizace robota
2024-07-14 20:34:00,ADA,sell,1274996,0.040821,52335,0,CZK,Korekce trhu
2024-07-14 16:41:00,LINK,sell,358970,0.079661,28712,0,CZK,Zisk
2024-07-14 22:42:00,LINK,sell,814347,0.027197,22203,0,CZK,Optimalizace robota
2024-07-14 08:15:00,ETH,buy,803084,0.001855,-1490,0,CZK,Korekce trhu
2024-07-15 08:10:00,DOGE,buy,549496,0.040183,-22080,0,CZK,Volatilita trhu
2024-07-15 14:55:00,ATOM,buy,176676,0.071889,-12701,0,CZK,Ztráta
2024-07-15 20:12:00,ADA,sell,480913,0.020909,10238,0,CZK,Zisk
2024-07-15 09:20:00,ATOM,buy,187232,0.060677,-11361,0,CZK,Optimalizace robota
2024-07-15 11:55:00,ETH,sell,852516,0.048924,42088,0,CZK,Zisk
2024-07-15 13:20:00,SOL,buy,1456343,0.092686,-134983,0,CZK,Volatilita trhu
